time,GRDC_1160815,US_09447000
2001-08-01,0.241,0.821
2001-08-02,0.225,0.651
2001-08-03,0.237,0.736
2001-08-04,0.219,0.651
2001-08-05,0.220,0.538
2001-08-06,0.235,0.510
2001-08-07,0.232,0.481
2001-08-08,0.208,0.566
2001-08-09,0.192,0.963
2001-08-10,0.188,0.680
2001-08-11,0.176,0.595
2001-08-12,0.180,0.680
2001-08-13,0.191,0.878
2001-08-14,0.190,0.850
2001-08-15,0.174,0.850
2001-08-16,0.159,0.821
2001-08-17,0.163,0.793
2001-08-18,0.143,0.765
2001-08-19,0.150,0.736
2001-08-20,0.143,0.708
2001-08-21,0.166,0.623
2001-08-22,0.155,0.566
2001-08-23,0.150,0.510
2001-08-24,0.149,0.510
2001-08-25,0.153,0.510
2001-08-26,0.152,0.481
2001-08-27,0.158,0.453
2001-08-28,0.160,0.425
2001-08-29,0.139,0.481
2001-08-30,0.158,0.736
2001-08-31,0.155,0.765
2001-09-01,0.156,0.595
2001-09-02,0.157,0.510
2001-09-03,0.172,0.453
2001-09-04,0.151,0.425
2001-09-05,0.131,0.425
2001-09-06,0.125,0.396
2001-09-07,0.110,0.396
2001-09-08,0.123,0.396
2001-09-09,0.139,0.396
2001-09-10,0.133,0.396
2001-09-11,0.135,0.396
2001-09-12,0.233,0.396
2001-09-13,9.356,0.425
2001-09-14,10.547,0.510
2001-09-15,7.584,0.510
2001-09-16,5.003,0.510
2001-09-17,3.656,0.481
2001-09-18,2.595,0.453
2001-09-19,1.804,0.396
2001-09-20,1.497,0.396
2001-09-21,1.261,0.396
2001-09-22,1.031,0.396
2001-09-23,0.895,0.396
2001-09-24,0.724,0.425
2001-09-25,0.630,0.425
2001-09-26,0.561,0.425
2001-09-27,0.527,0.396
2001-09-28,0.510,0.396
2001-09-29,0.499,0.425
2001-09-30,0.489,0.425
2001-10-01,0.450,0.447
2001-10-02,0.416,0.476
2001-10-03,0.368,0.527
2001-10-04,0.353,0.541
2001-10-05,0.312,0.487
2001-10-06,0.275,0.490
2001-10-07,0.263,0.580
2001-10-08,0.264,0.586
2001-10-09,0.293,0.580
2001-10-10,0.282,0.552
2001-10-11,0.254,0.496
2001-10-12,0.240,0.476
2001-10-13,0.239,0.462
2001-10-14,0.247,0.464
2001-10-15,0.268,0.453
2001-10-16,0.277,0.453
2001-10-17,0.271,0.459
2001-10-18,0.260,0.464
2001-10-19,0.239,0.459
2001-10-20,0.287,0.462
2001-10-21,0.447,0.464
2001-10-22,0.687,0.476
2001-10-23,0.564,0.501
2001-10-24,0.436,0.510
2001-10-25,0.817,0.518
2001-10-26,4.212,0.510
2001-10-27,2.000,0.513
2001-10-28,1.531,0.515
2001-10-29,10.179,0.513
2001-10-30,5.382,0.513
2001-10-31,3.027,0.513
2001-11-01,2.050,0.504
2001-11-02,1.635,0.445
2001-11-03,1.295,0.442
2001-11-04,1.035,0.450
2001-11-05,0.827,0.470
2001-11-06,0.667,0.552
2001-11-07,0.585,0.569
2001-11-08,0.588,0.538
2001-11-09,3.544,0.524
2001-11-10,4.874,0.541
2001-11-11,3.223,0.552
2001-11-12,2.158,0.561
2001-11-13,1.675,0.564
2001-11-14,1.425,0.569
2001-11-15,4.938,0.555
2001-11-16,42.978,0.535
2001-11-17,67.713,0.527
2001-11-18,28.389,0.524
2001-11-19,17.871,0.527
2001-11-20,12.375,0.538
2001-11-21,10.090,0.552
2001-11-22,7.647,0.552
2001-11-23,6.693,0.569
2001-11-24,6.114,0.564
2001-11-25,26.489,0.578
2001-11-26,50.959,0.575
2001-11-27,28.226,0.600
2001-11-28,20.262,0.606
2001-11-29,13.268,0.586
2001-11-30,9.223,0.541
2001-12-01,7.248,0.532
2001-12-02,6.475,0.530
2001-12-03,5.908,0.532
2001-12-04,5.430,0.547
2001-12-05,5.219,0.532
2001-12-06,4.743,0.521
2001-12-07,4.396,0.538
2001-12-08,4.117,0.518
2001-12-09,3.931,0.521
2001-12-10,3.770,0.521
2001-12-11,3.477,0.521
2001-12-12,3.266,0.572
2001-12-13,3.264,0.544
